title,publisher,h_index,thematic_scope,issn,quartile_category,quartile_year,quartile,sjr_year,sjr_score,impact_factor_year,impact_factor_score
Medecine/Sciences,Editions EDK,30,"m/s offers high-quality review articles in French, covering all areas of biomedical and health research, in a monthly magazine format (10 issues / year). m/s is read by the whole French-speaking community, in France but also in Belgium, Switzerland, Canada, Morocco, Algeria, Tunisia etc. m/s is not a primary publication, and thus will not consider unpublished data. Most articles are invited by the Editors, but spontaneous proposals are welcomed. Each issue combines news and views on the most recent scientific publications, as well as broadly accessible and updated review articles on a specific topic, and essays on science and society, history of science, public health, or reactions to published articles. Each year, m/s also publishes one or two thematic issues focused on a research topic of high interest. All review articles and essays are peer-reviewed.",0767-0974,Medicine (miscellaneous),2023,Q4,2023,0.174,2023,0.293
Journal of Parallel and Distributed Computing,Academic Press Inc.,104,"This international journal is directed to researchers, engineers, educators, managers, programmers, and users of computers who have particular interests in parallel processing and/or distributed computing.

The Journal of Parallel and Distributed Computing publishes original research papers and timely review articles on the theory, design, evaluation, and use of parallel and/or distributed computing systems. The journal also features special issues on these topics; again covering the full range from the design to the use of our targeted systems",0743-7315,Theoretical Computer Science,2023,Q1,2023,1.187,2023,4.736
Sustainable Computing: Informatics and Systems,Elsevier Inc.,47,"Sustainable computing is a rapidly expanding research area spanning the fields of computer science and engineering, electrical engineering as well as other engineering disciplines. The aim of Sustainable Computing: Informatics and Systems (SUSCOM) is to publish the myriad research findings related to energy-aware and thermal-aware management of computing resource. Equally important is a spectrum of related research issues such as applications of computing that can have ecological and societal impacts. SUSCOM publishes original and timely research papers and survey articles in current areas of power, energy, temperature, and environment related research areas of current importance to readers. SUSCOM has an editorial board comprising prominent researchers from around the world and selects competitively evaluated peer-reviewed papers.",2210-5379,Electrical and Electronic Engineering,2023,Q1,2023,1.014,2023,5.431
Simulation Modelling Practice and Theory,Elsevier B.V.,83,"The journal Simulation Modelling Practice and Theory provides a forum for original, high-quality papers dealing with any aspect of systems simulation and modelling.

The journal aims at being a reference and a powerful tool to all those professionally active and/or interested in the methods and applications of simulation. Submitted papers will be peer reviewed and must significantly contribute to modelling and simulation in general or use modelling and simulation in application areas.

Paper submission is solicited on:

• theoretical aspects of modelling and simulation including formal modelling, model-checking, random number generators, sensitivity analysis, variance reduction techniques, experimental design, meta-modelling, methods and algorithms for validation and verification, selection and comparison procedures etc.;

• methodology and application of modelling and simulation in any area, including computer systems, networks, real-time and embedded systems, mobile and intelligent agents, manufacturing and transportation systems, management, engineering, biomedical engineering, economics, ecology and environment, education, transaction handling, etc.;

• simulation languages and environments including those, specific to distributed computing, grid computing, high performance computers or computer networks, etc.;

• distributed and real-time simulation, simulation interoperability;

• tools for high performance computing simulation, including dedicated architectures and parallel computing.",1569-190X,Software,2023,Q2,2023,0.970,2023,4.760
International Journal of Information Technology and Web Engineering,IGI Publishing,17,"Organizations are continuously overwhelmed by a variety of new information technologies, many are Web based. These new technologies are capitalizing on the widespread use of network and communication technologies for seamless integration of various issues in information and knowledge sharing within and among organizations. This emphasis on integrated approaches is unique to this journal and dictates cross platform and multidisciplinary strategy to research and practice.",1554-1045,Computer Science (miscellaneous),2023,Q3,2023,0.238,2023,1.814
Expert Systems with Applications,Elsevier Ltd,271,"Expert Systems With Applications is a refereed international journal whose focus is on exchanging information relating to expert and intelligent systems applied in industry, government, and universities worldwide. The thrust of the journal is to publish papers dealing with the design, development, testing, implementation, and/or management of expert and intelligent systems, and also to provide practical guidelines in the development and management of these systems. The journal will publish papers in expert and intelligent systems technology and application in the areas of, but not limited to: finance, accounting, engineering, marketing, auditing, law, procurement and contracting, project management, risk assessment, information management, information retrieval, crisis management, stock trading, strategic management, network management, telecommunications, space education, intelligent front ends, intelligent database management systems, medicine, chemistry, human resources management, human capital, business, production management, archaeology, economics, energy, and defense. Papers in multi-agent systems, knowledge management, neural networks, knowledge discovery, data and text mining, multimedia mining, and genetic algorithms will also be published in the journal.",0957-4174,Engineering (miscellaneous),2023,Q1,2023,1.875,2023,9.293
Results in Chemistry,Elsevier B.V.,23,"Results in Chemistry is an open access journal, indexed in Scopus, offering authors the opportunity to publish in all fundamental and interdisciplinary areas of chemistry and related fields. Papers of experimental, theoretical and computational nature are all welcome. Results in Chemistry accepts papers that are scientifically sound, technically correct and provide valuable new knowledge to the chemistry community.

Results in Chemistry welcomes four types of papers:

Full research papers
Review articles
Communications (up to 3500 words)
Microarticles: very short papers, no longer than 2-3 pages. They may consist of a single, but well-described piece of information, such as:

- Data and/or a plot plus a description

- Description of a new method or instrumentation

- Concept or design study

- Code",2211-7156,Chemistry (miscellaneous),2023,Q3,2023,0.375,2023,2.560
Imaging Science Journal,Maney Publishing,30,"The Imaging Science Journal is the official scientific journal of The Royal Photographic Society, supported by the Society's Imaging Science Group. It covers exclusively both fundamental and applied scientific aspects of imaging. The content of the journal includes most areas of activity concerned with analogue chemical, electronic, digital and hybrid imaging systems. Within the context and scope of the journal the term imaging is taken to mean: the recording and visualisation of information recorded from radiation of any kind, emitted from, reflected by, or otherwise affected by an object. The recording media include photochemical, electronic and any other media for recording, manipulation, display or transfer of images and includes moving, or time-based imaging, as well as still imaging.",1368-2199,Media Technology,2023,Q3,2023,0.183,2023,0.771
Applied Surface Science,Elsevier B.V.,235,"Applied Surface Science covers topics contributing to a better understanding of surfaces, interfaces, nanostructures and their applications. The journal is concerned with scientific research on the atomic and molecular level of material properties determined with specific surface analytical techniques and/or computational methods, as well as the processing of such structures.",0169-4332,"Surfaces, Coatings and Films",2023,Q1,2023,1.210,2023,6.779
Journal of Molecular Structure,Elsevier B.V.,125,"The Journal of Molecular Structure is dedicated to the publication of full-length articles and review papers, providing important new structural information on all types of chemical species including:

• Stable and unstable molecules in all types of environments (vapour, molecular beam, liquid, solution, liquid crystal, solid state, matrix-isolated, surface-absorbed etc.)
• Chemical intermediates
• Molecules in excited states
• Biological molecules
• Polymers.

The methods used may include any combination of spectroscopic and non-spectroscopic techniques, for example:

• Infrared spectroscopy (mid, far, near)
• Raman spectroscopy and non-linear Raman methods (CARS, etc.)
• Electronic absorption spectroscopy
• Optical rotatory dispersion and circular dichroism
• Fluorescence and phosphorescence techniques
• Electron spectroscopies (PES, XPS), EXAFS, etc.
• Microwave spectroscopy
• Electron diffraction
• NMR and ESR spectroscopies
• Mössbauer spectroscopy
• X-ray crystallography
• Charge Density Analyses
• Computational Studies (supplementing experimental methods)

We encourage publications combining theoretical and experimental approaches. The structural insights gained by the studies should be correlated with the properties, activity and/ or reactivity of the molecule under investigation and the relevance of this molecule and its implications should be discussed.",0022-2860,Spectroscopy,2023,Q2,2023,0.571,2023,4.397
Atmospheric Environment,Elsevier Ltd,279,"Atmospheric Environment has an open access mirror journal Atmospheric Environment: X, sharing the same aims and scope, editorial team, submission system and rigorous peer review.

Atmospheric Environment is the international journal for scientists in different disciplines related to atmospheric composition and its impacts. The journal publishes scientific articles with atmospheric relevance of emissions and depositions of gaseous and particulate compounds, chemical processes and physical effects in the atmosphere, as well as impacts of the changing atmospheric composition on human health, air quality, climate change, and ecosystems.",1352-2310,Environmental Science (miscellaneous),2023,Q1,2023,1.169,2023,4.746
Magnetic Resonance in Chemistry,John Wiley and Sons Ltd,80,"MRC is devoted to the rapid publication of papers which are concerned with the development of magnetic resonance techniques, or in which the application of such techniques plays a pivotal part. Contributions from scientists working in all areas of NMR, ESR and NQR are invited, and papers describing applications in all branches of chemistry, structural biology and materials chemistry are published.

The journal is of particular interest not only to scientists working in academic research, but also those working in commercial organisations who need to keep up-to-date with the latest practical applications of magnetic resonance techniques.",0749-1581,Materials Science (miscellaneous),2023,Q2,2023,0.481,2023,1.965
Personal and Ubiquitous Computing,Springer London,97,"Personal and Ubiquitous Computing publishes peer-reviewed multidisciplinary research on personal and ubiquitous technologies and services. The journal provides a global perspective on new developments in research in areas including user experience for advanced digital technologies, the Internet of Things, big data, social technologies and mobile and wearable devices.",1617-4909,Management Science and Operations Research,2023,Q2,2023,0.654,2023,2.711
Inorganica Chimica Acta,Elsevier B.V.,108,"Inorganica Chimica Acta is an established international forum for all aspects of advanced Inorganic Chemistry. Original papers of high scientific level and interest are published in the form of Articles and Reviews.
Topics covered include:

• chemistry of the main group elements and the d- and f-block metals, including the synthesis, characterization and reactivity of coordination, organometallic, biomimetic, supramolecular coordination compounds, including associated computational studies;

• synthesis, physico-chemical properties, applications of molecule-based nano-scaled clusters and nanomaterials designed using the principles of coordination chemistry, as well as coordination polymers (CPs), metal-organic frameworks (MOFs), metal-organic polyhedra (MPOs);

• reaction mechanisms and physico-chemical investigations computational studies of metalloenzymes and their models;

• applications of inorganic compounds, metallodrugs and molecule-based materials.

Papers composed primarily of structural reports will typically not be considered for publication.",0020-1693,Physical and Theoretical Chemistry,2023,Q3,2023,0.386,2023,2.752
Journal of Environmental Informatics,International Society for Environmental Information Sciences,37,"Journal of Environmental Informatics (JEI) is an international, peer-reviewed, and interdisciplinary publication designed to foster research innovation and discovery on basic science and information technology for addressing various environmental problems. The journal aims to motivate and enhance the integration of science and technology to help develop sustainable solutions that are consensus-oriented, risk-informed, scientifically-based and cost-effective. JEI serves researchers, educators and practitioners who are interested in theoretical and/or applied aspects of environmental science, regardless of disciplinary boundaries. The topics addressed by the journal include:

- Planning of energy, environmental and ecological management systems

- Simulation, optimization and Environmental decision support

- Environmental geomatics - GIS, RS and other spatial information technologies

- Informatics for environmental chemistry and biochemistry

- Environmental applications of functional materials

- Environmental phenomena at atomic, molecular and macromolecular scales

- Modeling of chemical, biological and environmental processes

- Modeling of biotechnological systems for enhanced pollution mitigation

- Computer graphics and visualization for environmental decision support

- Artificial intelligence and expert systems for environmental applications

- Environmental statistics and risk analysis

- Climate modeling, downscaling, impact assessment, and adaptation planning

- Other areas of environmental systems science and information technology.",1726-2135,Environmental Science (miscellaneous),2023,Q1,2023,1.491,2023,6.605
Thermochimica Acta,Elsevier B.V.,156,"Thermochimica Acta publishes original research contributions covering all aspects of thermoanalytical and calorimetric methods and their application to experimental chemistry, physics, biology and engineering. The journal aims to span the whole range from fundamental research to practical application.

The journal focuses on the research that advances physical and analytical science of thermal phenomena. Therefore, the manuscripts are expected to provide important insights into the thermal phenomena studied or to propose significant improvements of analytical or computational techniques employed in thermal studies. Manuscripts that report the results of routine thermal measurements are not suitable for publication in Thermochimica Acta.

The journal particularly welcomes papers from newly emerging areas as well as from the traditional strength areas:
- New and improved instrumentation and methods
- Thermal properties and behavior of materials
- Kinetics of thermally stimulated processes",0040-6031,Physical and Theoretical Chemistry,2023,Q2,2023,0.572,2023,3.139
Evolutionary Intelligence,Springer Verlag,36,"This Journal provides an international forum for the timely publication and dissemination of foundational and applied research in the domain of Evolutionary Intelligence. The spectrum of emerging fields in contemporary artificial intelligence, including Big Data, Deep Learning, Computational Neuroscience bridged with evolutionary computing and other population-based search methods constitute the flag of Evolutionary Intelligence Journal.

Topics of interest for Evolutionary Intelligence refer to different aspects of evolutionary models of computation empowered with intelligence-based approaches, including but not limited to architectures, model optimization and tuning, machine learning algorithms, life inspired adaptive algorithms, swarm-oriented strategies, high performance computing, massive data processing, with applications to domains like computer vision, image processing, simulation, robotics, computational finance, media, internet of things, medicine, bioinformatics, smart cities, and similar. Surveys outlining the state of art in specific subfields and applications are welcome.",1864-5909,Mathematics (miscellaneous),2023,Q2,2023,0.638,2023,3.397
International Journal of Healthcare Technology and Management,Inderscience Enterprises Ltd,20,"IJHTM is a series emerging from the International Journal of Technology Management. It provides an international forum and refereed authoritative sources of information in the fields of the economics and management of technology in healthcare.

Topics covered include:
-Healthcare economics, management on macro/micro levels-
Healthcare technology management, technology assessment-
Medical technology management-
Strategic management/organisation of healthcare/healthcare technology (HC/HCT)-
Human resource management, organisation behaviour/theory and HC/HCT-
R&D management, entrepreneurial management, innovation and HC/HCT-
Quality management (clinical/administrative), benchmarking and TQM in HC/HCT-
New product development and marketing and HC/HCT-
ICT in healthcare-
Economics and financial management of HC/HCT-
Relationship between health and healthcare, health and social care interface-
Government policies and HC/HCT management-
HC/HCT management and the link between providers and insurers-
Globalisation, technology transfer and licensing-
E-commerce, supply chain management, operations management in healthcare",1368-2156,Leadership and Management,2023,Q4,2023,0.188,2023,0.520
Applied Soft Computing Journal,Elsevier B.V.,190,"Applied Soft Computing is an international journal promoting an integrated view of soft computing to solve real life problems. Soft computing is a collection of methodologies, which aim to exploit tolerance for imprecision, uncertainty and partial truth to achieve tractability, robustness and low solution cost. The focus is to publish the highest quality research in application and convergence of the areas of Fuzzy Logic, Neural Networks, Evolutionary Computing, Rough Sets and other similar techniques to address real world complexities.

Applied Soft Computing is a rolling publication: articles are published as soon as the editor-in-chief has accepted them. Therefore, the web site will continuously be updated with new articles and the publication time will be short.

Major Topics:

The scope of this journal covers the following soft computing and related techniques, interactions between several soft computing techniques, and their industrial applications:

• Ant Colony
• Chaos Theory
• Evolutionary Computing
• Fuzzy Computing
• Hybrid Methods
• Immunological Computing
• Morphic Computing
• Neuro Computing
• Particle Swarm
• Probabilistic Computing
• Rough Sets
• Wavelet",1568-4946,Software,2023,Q1,2023,1.843,2023,8.574
Journal of Network and Computer Applications,Academic Press,141,"The Journal of Network and Computer Applications welcomes research contributions, surveys and notes in all areas relating to computer networks and applications thereof. The following list of sample-topics is by no means to be understood as restricting contributions to the topics mentioned:

-new design techniques, interesting or novel applications, components or standards
-computer networks with tools such as WWW
-emerging standards for internet protocols
-Wireless networks
-Mobile Computing
-emerging computing models such as cloud computing, grid computing
-emerging network protocols such as sensor networks, delay tolerant networks, Internet of things
-applications of networked systems for remote collaboration and telemedicine
-applications of an educational, transactional and cooperational nature
-applications of security in computer and networks",1084-8045,Hardware and Architecture,2023,Q1,2023,2.417,2023,10.526
International Journal of Imaging Systems and Technology,John Wiley and Sons Inc.,57,"The International Journal of Imaging Systems and Technology (IMA) is a forum for the exchange of ideas and results relevant to imaging systems, including imaging physics and informatics. The journal covers all imaging modalities in humans and animals.

IMA accepts technically sound and scientifically rigorous research in the interdisciplinary field of imaging, including relevant algorithmic research and hardware and software development, and their applications relevant to medical research. The journal provides a platform to publish original research in structural and functional imaging.

The journal is also open to imaging studies of the human body and on animals that describe novel diagnostic imaging and analyses methods. Technical, theoretical, and clinical research in both normal and clinical populations is encouraged. Submissions describing methods, software, databases, replication studies as well as negative results are also considered.

The scope of the journal includes, but is not limited to, the following in the context of biomedical research:

Imaging and neuro-imaging modalities: structural MRI, functional MRI, PET, SPECT, CT, ultrasound, EEG, MEG, NIRS etc.;
Neuromodulation and brain stimulation techniques such as TMS and tDCS;
Software and hardware for imaging, especially related to human and animal health;
Image segmentation in normal and clinical populations;
Pattern analysis and classification using machine learning techniques;
Computational modeling and analysis;
Brain connectivity and connectomics;
Systems-level characterization of brain function;
Neural networks and neurorobotics;
Computer vision, based on human/animal physiology;
Brain-computer interface (BCI) technology;
Big data, databasing and data mining.",0899-9457,Software,2023,Q2,2023,0.706,2023,4.550
KSII Transactions on Internet and Information Systems,Korea Society of Internet Information,38,"The KSII Transactions on Internet and Information Systems (TIIS) is online scholarly journal indexed in SCIE (Thomson Reuters) and SCOPUS (Elsevier) and published by KSII and supported by KETI. The Transactions is published every other month. The Transactions is designed to allow readers to obtain the most state of the art in a number of focusing areas related to wired & wireless internet and information systems. The technologies and applications of IT are very rapidly changing and updating. Thus quick publication and distribution to researchers, developers, deployment engineers, technical managers, and educators are crucial. Our most important aim is to publish the accepted papers quickly after receiving the manuscript.",1976-7277,Information Systems,2023,Q3,2023,0.331,2023,1.518
IEEE Internet of Things Journal,Institute of Electrical and Electronics Engineers Inc.,179,"The IEEE IoT Journal (IoT-J), launched in 2014, publishes papers on the latest advances, as well as review articles, on the various aspects of IoT. Topics include IoT system architecture, IoT enabling technologies, IoT communication and networking protocols, IoT services and applications, and the social implications of IoT. Examples are IoT demands, impacts, and implications on sensors technologies, big data management, and future internet design for various IoT use cases, such as smart cities, smart environments, smart homes, etc. The fields of interest include:

IoT architectures such as things-centric, data-centric, service-centric architecture, CPS and SCADA platforms, future Internet design for IoT, cloud-based IoT, and system security and manageability.
IoT enabling technologies such as sensors, radio frequency identification, low power and energy harvesting, sensor networks, machine-type communication, resource-constrained networks, real-time systems, IoT data analytics, in situ processing, and embedded software.
IoT services, applications, standards, and test-beds such as streaming data management and mining platforms, service middleware, open service platform, semantic service management, security and privacy-preserving protocols, design examples of smart services and applications, and IoT application support.",2327-4662,Signal Processing,2023,Q1,2023,3.382,2023,9.217
Connection Science,Taylor and Francis A.S.,49,"Connection Science is an interdisciplinary journal dedicated to exploring the convergence of the analytic and synthetic sciences, including neuroscience, computational modelling, artificial intelligence, machine learning, deep learning, Database, Big Data, quantum computing, Blockchain, Zero-Knowledge, Internet of Things, Cybersecurity, and parallel and distributed computing.

A strong focus is on the articles arising from connectionist, probabilistic, dynamical, or evolutionary approaches in aspects of Computer Science, applied applications, and systems-level computational subjects that seek to understand models in science and engineering.",0954-0091,Software,2023,Q2,2023,0.763,2023,4.230
Internet Technology Letters,John Wiley and Sons Inc.,21,"The Internet technology research area is evolving at a very fast pace, with new paradigms replacing old ones year by year. Over the last decade, scientists working in this area assisted to the rapid evolution of xG mobile systems, the birth of Future Internet architectures, the explosion of the Internet of Things, the formulation of the Cyber Physical System paradigm, the softwarization of networking infrastructures and protocols, the envisioning of nano-machines, the design of molecular-based communication systems, the advent of the web of things and of the Industrial Internet, to name a few. All these activities are tightly linked to each other and need to be sustained by a capillary and fast exchange of results between research teams across the world to fully leverage the Internet potential in our Society.",2476-1508,Software,2023,Q3,2023,0.346,2023,1.796
Electronics (Switzerland),Multidisciplinary Digital Publishing Institute (MDPI),83,"Electronics (ISSN 2079-9292) is an international, peer-reviewed, open access journal on the science of electronics and its applications. It publishes reviews, research articles, short communications and letters. Our aim is to encourage scientists to publish their experimental and theoretical results in as much detail as possible. There is no restriction on the length of the papers. Full experimental and/or methodical details must be provided. There are, in addition, unique features of this journal:

-manuscripts regarding research proposals and research ideas will be particularly welcomed,
-electronic files or software regarding the full details of the calculation and experimental procedure - if unable to be published in a normal way - can be deposited as supplementary material.

Subject Areas:
electrical circuits & devices,
microelectronics and computer technology,
computer science and engineering,
communications & information processing,
electrical engineering communications,
signal processing,
measurements technology,
microwave and electronic system engineering,
microelectronics and optoelectronics,
systems & control engineering,
bioelectronics,
power electronics and energy systems.",2079-9292,Signal Processing,2023,Q2,2023,0.644,2023,3.487
International Journal of Emerging Technologies in Learning,International Association of Online Engineering,46,"This interdisciplinary journal focuses on the exchange of relevant trends and research results and presents practical experiences gained while developing and testing elements of technology enhanced learning especially in the post secondary field.
It bridges the gap between pure academic research journals and more practical publications. So it covers the full range from research, application development to experience reports and product descriptions.
Our main field of publications is post secondary education.

Fields of interest include, but are not limited to:

-Online Learning Tools-

Blended Learning-

MOOCs, SPOCs-

Knowledge Management in learning-

Semantic Web Technologies-

MashUp Technologies-

Platforms and Content Authoring-

New Learning Models and Applications-

Pedagogical and Psychological Issues-

Trust / Security-

Internet Applications-

Networked Tools-

Visualisation-

Language /Speech-

Collaboration Tools / Collaborative Networks",1863-0383,Engineering (miscellaneous),2022,Q2,2022,0.536,2023,2.330
Applied Intelligence,Springer Netherlands,95,"With a focus on research in artificial intelligence and neural networks, this journal addresses issues involving solutions of real-life manufacturing, defense, management, government and industrial problems which are too complex to be solved through conventional approaches and require the simulation of intelligent thought processes, heuristics, applications of knowledge, and distributed and parallel processing. The integration of these multiple approaches in solving complex problems is of particular importance.",0924-669X,Artificial Intelligence,2023,Q2,2023,1.193,2023,6.267
Computational Methods for Differential Equations,University of Tabriz,10,"Computational Methods for Differential Equations is an open-access journal under license CC BY-NC 4.0. In other words, this journal provides immediate open access to every article on the principle that making research freely accessible to the public. It supports a greater global exchange of knowledge and an invaluable way to boost the visibility and impact of research. The journal's free availability on the public Internet, permitting any users to read, download, copy, distribute, print, search, or link to the full texts of these articles, crawl them for indexing, pass them as data to software, or use them for any other lawful purpose, without financial, legal, or technical barriers other than that inseparable from gaining access to the Internet itself.

All the costs of publishing the papers of this journal are covered by the University of Tabriz.",2345-3982,Numerical Analysis,2023,Q3,2023,0.347,2023,1.157
Journal of Dynamical and Control Systems,Springer New York,42,"Journal of Dynamical and Control Systems presents peer-reviewed survey and original research articles which examine the entire spectrum of issues related to dynamical systems, focusing on the theory of smooth dynamical systems with analyses of measure-theoretical, topological, and bifurcational aspects. The journal covers all essential branches of the theory - local, semilocal, and global - including the theory of foliations. Control systems coverage spotlights the geometric control theory, which unifies Lie-algebraic and differential-geometric methods of investigation in control and optimization, and ultimately relates to the general theory of dynamical systems, in particular, sub-Riemannian geometry is covered. Additional authoritative contributions describe ongoing investigations and innovative solutions to unsolved problems. Detailed reviews of newly published books relevant to future studies in the field are also included. Journal of Dynamical and Control Systems will serve as a highly useful reference for mathematicians, students, and researchers interested in the many facets of dynamical and control systems.",1079-2724,Numerical Analysis,2023,Q2,2023,0.469,2023,0.840
Journal of King Saud University - Computer and Information Sciences,King Saud bin Abdulaziz University,60,"The Journal of King Saud University Computer and Information Sciences is a refereed, international journal that covers all aspects of both foundations of computer and its practical applications. The journal publishes original papers in the areas of, but not limited to:
-Arabization
-Big Data
-Bioinformatics
-Biometrics
-Cloud Computing
-Computer Graphics
-Computer Vision
-Crowd Computing
-Data Mining
-Data Warehouse
-e-Business
-e-Learning
-Embedded Systems
-Fuzzy Systems
-Grid Computing
-High Performance Computing
-Image Processing
-Information Security
-Internet of Things
-Machine Learning
-Mobile Computing
-Natural Language Processing
-Net Centric Computing
-Network Protocols
-Network Security
-Pattern Recognition
-Pervasive Computing
-Robotics
-Social Networks
-Software Engineering
-Speech Processing
-Wireless and Mobile Networks
-Wireless Sensor Networks
Special emphasis is given to recent trends related to the cutting-edge research within the domain.

The journal publishes also Special Issues within its scope resulting from specific and dedicated editorial efforts or covering a particular theme.

All articles are subjected to extensive review by international reviewers.",1319-1578,Computer Science (miscellaneous),2023,Q1,2023,1.198,2023,7.400
Journal of Computer Networks and Communications,Hindawi Limited,31,"Journal of Computer Networks and Communications publishes articles, both theoretical and practical, investigating computer networks and communications. Articles explore the architectures, protocols, and applications for networks across the full spectrum of sizes (LAN, PAN, MAN, WAN…) and uses (SAN, EPN, VPN…). Investigations related to topical areas of research are especially encouraged, including mobile and wireless networks, cloud and fog computing, the Internet of Things, and next generation technologies.

Submission of original research, and focused review articles, is welcomed from both academic and commercial communities.",2090-7141,Information Systems,2023,Q3,2023,0.472,2023,2.679
Environmental Pollution,Elsevier Ltd,301,"Environmental Pollution is an international peer-reviewed journal that publishes high quality research papers and review articles about all aspects of environmental pollution and its effects on ecosystems and human health. The journal welcomes high-quality process-oriented and hypothesis-based submissions that report results from original and novel research and contribute new knowledge to help address problems related to environmental pollution at a regional or global scale.

Subject areas include, but are not limited to:
• Sources and occurrences of pollutants that are clearly defined and measured in environmental compartments, food and food-related items, and human bodies;
• Interlinks between contaminant exposure and biological, ecological, and human health effects, including those of climate change;
• Contaminants of emerging concerns (including but not limited to antibiotic resistant microorganisms or genes, microplastics/nanoplastics, electronic wastes, light, and noise) and/or their biological, ecological, or human health effects;
• Laboratory and field studies on the remediation/mitigation of environmental pollution via new techniques and with clear links to biological, ecological, or human health effects;
• Modeling of pollution processes, patterns, or trends that is of clear environmental and/or human health interest;
• New techniques that measure and examine environmental occurrences, transport, behavior, and effects of pollutants within the environment or the laboratory, provided that they can be clearly used to address problems within regional or global environmental compartments.",0269-7491,Toxicology,2023,Q1,2023,2.132,2023,8.805
Apidologie,Springer Science + Business Media,100,"Apidologie is a peer-reviewed journal devoted to the biology of insects belonging to the superfamily Apoidea (Michener, 1944), the term ""biology"" being used in the broader sense.

The main topics include: behavior, ecology, pollination, genetics, physiology, toxicology and pathology. Systematic research can also be submitted to the extent that it concerns the Apoidea. Also accepted are research papers on the rearing, exploitation and practical use of Apoidea and their products, as far as they make a clear contribution to the understanding of bee biology. Papers which are only of descriptive kind and of local interest are not accepted.",0044-8435,Insect Science,2023,Q1,2023,0.727,2023,2.389
Journal of Supercomputing,Springer Netherlands,81,"The Journal of Supercomputing publishes papers on the technology, architecture and systems, algorithms, languages and programs, performance measures and methods, and applications of all aspects of Supercomputing. Tutorial and survey papers are intended for workers and students in the fields associated with and employing advanced computer systems. The journal also publishes letters to the editor, especially in areas relating to policy, succinct statements of paradoxes, intuitively puzzling results, partial results, and real needs.

Published theoretical and practical papers are advanced, in-depth treatments describing new developments and new ideas. Each includes an introduction summarizing prior, directly pertinent work that is useful for the reader to understand, in order to appreciate the advances being described.",0920-8542,Theoretical Computer Science,2023,Q2,2023,0.763,2023,3.959
Computer Networks,Elsevier B.V.,155,"Computer Networks is an international, archival journal providing a publication vehicle for complete coverage of all topics of interest to those involved in the computer communications networking area. The audience includes researchers, managers and operators of networks as well as designers and implementors. The Editorial Board will consider any material for publication that is of interest to those groups.",1389-1286,Computer Networks and Communications,2023,Q1,2023,1.520,2023,5.836
Desalination and Water Treatment,Elsevier B.V.,83,"The journal is dedicated to research and application of desalination technology, environment and energy considerations, integrated water management, water reuse, wastewater and related topics:

-Desalination-
Water and Wastewater Treatment-
Membranes-
Water Biology-
Water Electrolysis and Electrochemical Processes-
Advanced Oxidation Processes-
Green & Sustainable Technologies-
Novel Materials/Adsorption-
Water Chemistry/Analysis-
Water Ecology-
Climate Change-
Circular Economy-
Water Biodiversity-
Water Policy and Management-
Water Science and Technology-
Water treatment of emerging contaminants-
Water Resources-
Resource Recovery from Water Sources-
AI in Water and Wastewater Treatment",1944-3994,Water Science and Technology,2023,Q3,2023,0.256,2023,1.078
Computer Methods and Programs in Biomedicine,Elsevier Ireland Ltd,138,"To encourage the development of formal computing methods, and their application in biomedical research and medical practice, by illustration of fundamental principles in biomedical informatics research; to stimulate basic research into application software design; to report the state of research of biomedical information processing projects; to report new computer methodologies applied in biomedical areas; the eventual distribution of demonstrable software to avoid duplication of effort; to provide a forum for discussion and improvement of existing software; to optimize contact between national organizations and regional user groups by promoting an international exchange of information on formal methods, standards and software in biomedicine.

Computer Methods and Programs in Biomedicine covers computing methodology and software systems derived from computing science for implementation in all aspects of biomedical research and medical practice. It is designed to serve: biochemists; biologists; geneticists; immunologists; neuroscientists; pharmacologists; toxicologists; clinicians; epidemiologists; psychiatrists; psychologists; cardiologists; chemists; (radio)physicists; computer scientists; programmers and systems analysts; biomedical, clinical, electrical and other engineers; teachers of medical informatics and users of educational software.",0169-2607,Software,2023,Q1,2023,1.189,2023,5.633
International Journal of Ad Hoc and Ubiquitous Computing,Inderscience Enterprises Ltd,26,"IJAHUC publishes papers that address networking or computing problems in the context of mobile and wireless ad hoc networks, wireless sensor networks, ad hoc computing systems, and ubiquitous computing systems.",1743-8225,Software,2023,Q4,2023,0.268,2023,1.182
Journal of Intelligent Manufacturing,Springer Netherlands,104,"Published eight times per year, Journal of Intelligent Manufacturing provides a unique international forum for developers of intelligent manufacturing systems. By publishing quality refereed papers on the applications of artificial intelligence in manufacturing, the Journal provides a vital link between the research community and practitioners in industry.

In addition to research papers, Journal of Intelligent Manufacturing presents:
* Articles on new methodologies and developments
* Case studies
* Surveys
* Tutorials on topics related to product design and manufacturing
* Special issues.",0956-5515,Software,2023,Q1,2023,2.071,2023,8.957
"Computers, Materials and Continua",Tech Science Press,57,"This journal publishes original research papers in the areas of computer networks, artificial intelligence, big data management, software engineering, multimedia, cyber security, internet of things, materials genome, integrated materials science, data analysis, modeling, and engineering of designing and manufacturing of modern functional and multifunctional materials.      

Novel high performance computing methods, big data analysis, and artificial intelligence that advance material technologies are especially welcome.",1546-2218,Modeling and Simulation,2023,Q2,2023,0.460,2023,2.964
